Product ID;Active (0/1);Name *;Categories (x,y,z...);Price tax excluded;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Delivery time of in-stock products;Delivery time of out-of-stock products with allowed orders;Quantity;Minimal quantity;Low stock level;Receive a low stock alert by email;Visibility;Additional shipping cost;Unity;Unit price;Summary;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...);Image alt texts (x,y,z...);Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock action;Virtual product;File URL;Number of allowed downloads;Expiration date;Number of days;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse;Acessories  (x,y,z...)
;;Вешало-крюк 1500 мм черный муар;Трубы и штангодержатели;3252;;;;;;;;;;;Россия;;;;;;;;;;;;;;;;;;;"<br><br><img width=""400"" alt=""Вешало-крюк.jpg"" src=""/upload/medialibrary/1c2/1c291fe339bbbfff83f531f07c963284.jpg"" height=""585"" title=""Вешало-крюк.jpg""><br>";;;;;;;;;;;;https://artmebel.kz/upload/iblock/b14/fi9va2cx4kd60r3xf1l9zwmh0ggz7wpx/e03fac2e-aea7-11e9-3e9d-001517eeea50_5828d1ec-f7bc-11e9-138d-001517eeea50.jpeg;;;;;;;;;;;;;;;;;;;
;;M-4005 Штангодержатель овальный прозрачный;Трубы и штангодержатели;48;;;;;;;;;;;Турция;;;;;;;;;;;;;;;;;;;"<br><br><img width=""800"" alt=""M-4005.jpg"" src=""/upload/medialibrary/2e4/2e457a8bfa0ddf65413feeee9b54588d.jpg"" height=""416"" title=""M-4005.jpg""><br>";;;;;;;;;;;;https://artmebel.kz/upload/iblock/068/068fed764de1b8e34c19ec7e0279d759.jpeg;;;;;;;;;;;;;;;;;;;
;;60127,001 Система Joker D25 для ДСП ;Трубы и штангодержатели;500;;;;;;;;;;;КНР;;;;;;;;;;;;;;;;;;;<p>60127,001 Система Joker D25 для ДСП </p>;;;;;;;;;;;;https://artmebel.kz/upload/iblock/0b4/heoqwyo4r6cce1us77o3lxciq93tih91/3cefa117-3f0a-11e0-0788-001517eeea50_e9c8260f-acfd-11e0-6a96-57ebb1d7d858.jpeg;;;;;;;;;;;;;;;;;;;
;;Кронштейн вешала белый;Трубы и штангодержатели;246;;;;;;;;;;;Россия;;;;;;;;;;;;;;;;;;;"<br><br><img width=""400"" alt=""Кронштейн вешала.jpg"" src=""/upload/medialibrary/991/99129234590ac9b6b3778be51c50959b.jpg"" height=""392"" title=""Кронштейн вешала.jpg""><br>";;;;;;;;;;;;https://artmebel.kz/upload/iblock/476/n57rm52ww3siwoz13ih33nrzs2si1buz/e03fabe1-aea7-11e9-3e9d-001517eeea50_5828d294-f7bc-11e9-138d-001517eeea50.jpeg;;;;;;;;;;;;;;;;;;;
;;FZ2502  Соединение для труб T-типа;Трубы и штангодержатели;386;;;;;;;;;;;КНР;;;;;;;;;;;;;;;;;;;"<p>FZ2502&nbsp;&nbsp;Соединение для труб T-типа</p>";;;;;;;;;;;;https://artmebel.kz/upload/iblock/cd5/5ugqbirzankyzv44nrvuo1ul998rz4j6.jpeg;;;;;;;;;;;;;;;;;;;
;;FZ2503  Соединение для труб тройное угловое;Трубы и штангодержатели;394;;;;;;;;;;;КНР;;;;;;;;;;;;;;;;;;;"<p>FZ2503&nbsp;&nbsp;Соединение для труб тройное угловое</p>";;;;;;;;;;;;https://artmebel.kz/upload/iblock/0a6/l3na6nirk8vsdwgrad3v942y182vih6u/ff0abde7-be4c-11e0-e68b-63678bc3e199_4f58dff0-6779-11e1-c19f-37b0f0dfb579.jpeg;;;;;;;;;;;;;;;;;;;
;;60180,025 Крепление для трубы D25 + образное;Трубы и штангодержатели;533;;;;;;;;;;;КНР;;;;;;;;;;;;;;;;;;;<p>60180,025 Крепление для трубы D25 + образное</p>;;;;;;;;;;;;https://artmebel.kz/upload/iblock/da4/xhb10h4lnb4j2yfrbalhwzzssmtbpdgg.jpeg;;;;;;;;;;;;;;;;;;;
;;60126,025 Система Joker D25 для ДСП односторон,+стекло;Трубы и штангодержатели;718;;;;;;;;;;;КНР;;;;;;;;;;;;;;;;;;;<p>60126,025 Система Joker D25 для ДСП односторон,+стекло</p>;;;;;;;;;;;;https://artmebel.kz/upload/iblock/278/9dm2i0za63g2z417drds39n0e5vua3rg/9d7faec2-1336-11e0-af8b-001517eeea50_80e7b6da-a3bc-11e0-ae83-001517eeea50.jpeg;;;;;;;;;;;;;;;;;;;
;;S-155  Крепление для штанги глухое;Трубы и штангодержатели;303;;;;;;;;;;;КНР;;;;;;;;;;;;;;;;;;;"<p>S-155&nbsp;&nbsp;Крепление для штанги глухое</p>";;;;;;;;;;;;https://artmebel.kz/upload/iblock/99b/9d29qb2snaqhwbfesw5nhp8ip96eqcwm/7580e9f5-bef5-11df-a03f-00248c9ebc32_40b50b76-e1c1-11df-8846-00248c9ebc32.jpeg;;;;;;;;;;;;;;;;;;;
;;60102,101 Система Joker D25  3 трубы;Трубы и штангодержатели;360;;;;;;;;;;;КНР;;;;;;;;;;;;;;;;;;;"<p>60102,101 Система Joker D25&nbsp;&nbsp;3 трубы</p>";;;;;;;;;;;;https://artmebel.kz/upload/iblock/b8b/d14jfzxvgj30fy0k70yenwl0cx33z4xe.jpeg;;;;;;;;;;;;;;;;;;;
